holder_id,gross_interest_reported,first_name,last_name,nino,date_of_birth,address_line_1,town,postcode
H0000001,474.58,William,Xu,KJ639374A,1954-10-28,206 Eastgate,Glasgow,G37 6AJ
H0000002,271.9,Brian,Rahman,BE009021D,1942-09-11,24 Ivywood Crescent,Norwich,NR7 4PG
H0000003,3693.23,Aisha,Okonkwo,TL147623B,1988-02-06,165 Ivywood Crescent,Nottingham,NG8 6QD
H0000004,93.15,Catherine,Okonkwo,CW492212C,2003-07-02,117 Cathedral Close,Manchester,M14 6WP
H0000005,752.44,William,Abbott,MP940546A,1991-10-08,92 Eastgate,Nottingham,NG39 2LS
H0000006,699.88,William,Zielinski,YJ481060B,1997-03-04,164 Ivywood Crescent,Sheffield,S40 1XX
H0000007,42.17,Eleanor,Whitfield,BA506378C,1961-03-04,103 Jubilee Terrace,Cardiff,CF40 8SF
H0000008,725.94,Kwame,Whitfield,HY674522D,1992-01-10,122 Bramley Road,Manchester,M5 9WS
H0000009,1272.12,Verity,Quinn,RZ407747D,1998-07-22,44 Fenwick Street,Leeds,LS24 8YQ
H0000010,702.08,William,Chowdhury,HC364637D,2001-02-08,198 Granby Row,Birmingham,B12 2TW
H0000011,2276.89,William,Kaur,ZW146542A,1985-02-22,147 Bramley Road,Cardiff,CF35 4QJ
H0000013,2554.32,Quentin,Sinclair,KH590220C,1968-06-17,,Sheffield,S6 8ZT
H0000014,6986.4,Priya,Bhatt,RC279979D,2003-09-26,200 Hollybank Avenue,Bristol,BS5 4UF
H0000015,3947.9,Catherine,Thackeray,MS443206C,1963-11-18,236 Ivywood Crescent,Manchester,M18 4YS
H0000016,751.14,Catherine,Gill,KK170689C,2001-01-06,54 Hollybank Avenue,Leeds,LS27 2HU
H0000017,3041.33,Farid,Iqbal,BN876559C,1966-05-20,170 Alder Way,Cardiff,CF39 9QX
H0000018,7342.36,Eleanor,Vasquez,AS450562C,2005-02-02,178 Hollybank Avenue,Bristol,BS19 2QG
H0000019,2083.77,Mohammed,Xu,ZX224149C,1957-08-14,5 Ivywood Crescent,Manchester,M33 4UX
H0000022,7536.21,Dev,Sinclair,TB302345B,1967-09-20,67 Alder Way,Glasgow,G11 8RN
H0000023,26.88,Mohammed,Nowak,XA261982D,1970-02-15,93 Hollybank Avenue,Nottingham,NG24 3FS
H0000024,13.9,Verity,Kaur,SS571102C,1940-02-24,175 Ivywood Crescent,Glasgow,G12 7UT
H0000025,6459.64,Niamh,Xu,RN357807A,,116 Hollybank Avenue,Glasgow,G16 4QY
H0000026,1858.45,Rosalind,Sinclair,LR855907C,1959-10-01,161 Bramley Road,Birmingham,B4 9NZ
H0000027,2446.92,Hamish,Ubadike,TA431199B,1965-08-22,65 Bramley Road,Norwich,NR33 6UL
H0000028,3203.8,Farid,Lindqvist,GL247887A,1966-06-14,109 Cathedral Close,Norwich,NR10 3AP
H0000029,355.14,Brian,Okonkwo,HB540549D,1980-10-10,89 Dovecote Lane,Leeds,LS16 3NE
H0000030,244.98,Grace,Nowak,OE192218D,1958-08-04,176 Bramley Road,Bristol,BS10 9RX
H0000031,3376.94,Mohammed,Fitzgerald,LA833037B,1990-11-08,50 Alder Way,Birmingham,B23 4AS
H0000032,1115.59,Yusuf,Sinclair,NL401629C,1972-12-05,27 Cathedral Close,Norwich,NR19 2FD
H0000033,5258.14,Jaspreet,Thackeray,JB120754C,1960-10-21,152 Eastgate,Sheffield,S20 8QP
H0000035,4176.23,Priya,Gill,AM654185C,2003-09-05,46 Alder Way,Newcastle upon Tyne,NE6 5EX
H0000037,2635.78,Sanjay,Eriksson,HN231173B,1984-07-31,128 Eastgate,Cardiff,CF29 7XL
H0000038,177.63,Grace,Bhatt,SP961921A,1940-07-14,87 Eastgate,Sheffield,S3 1BU
H0000039,38.3,Mohammed,Doyle,ZB322724B,1946-07-30,72 Ivywood Crescent,Bristol,BS30 8QF
H0000040,4088.96,Ualan,Okonkwo,PL992258A,1993-06-19,127 Eastgate,Birmingham,B20 2XS
H0000041,773.36,Kwame,Zielinski,TX702514B,1964-02-08,129 Alder Way,Newcastle upon Tyne,NE21 8FN
H0000042,3989.41,Verity,Doyle,XK380192A,1984-11-01,222 Bramley Road,Birmingham,B29 2GJ
H0000043,2309.52,Mohammed,Lindqvist,OC654042A,1980-10-26,193 Alder Way,Norwich,NR24 4AZ
H0000044,2696.23,Lucy,Thackeray,OC041677B,2002-03-26,222 Hollybank Avenue,Bristol,BS6 8DD
H0000045,605.15,Tara,Ubadike,ZT007735A,1942-03-14,79 Jubilee Terrace,Sheffield,S18 3FZ
H0000046,1861.88,Ualan,Whitfield,JE608439D,1978-03-19,144 Granby Row,Newcastle upon Tyne,NE4 7JA
H0000047,2955.63,Brian,Iqbal,AP531758C,1968-01-06,226 Eastgate,Sheffield,S5 6PQ
H0000048,172.45,Oluwaseun,Mensah,SY059340C,1982-12-13,102 Granby Row,Newcastle upon Tyne,NE9 8RB
H0000049,1539.13,William,Iqbal,KL117490B,1988-08-26,55 Granby Row,Newcastle upon Tyne,NE13 1ZQ
H0000050,1614.27,Imogen,Xu,YW689031C,2003-01-21,,Leeds,LS30 4DB
H0000051,26.97,Yusuf,Nowak,HX054665A,1987-03-12,141 Eastgate,Cardiff,CF23 1NR
H0000052,6264.91,Lucy,Kaur,GG389248A,1961-03-24,238 Dovecote Lane,Manchester,M12 4LD
H0000053,3339.48,Verity,Fitzgerald,MW979760D,1990-07-06,186 Ivywood Crescent,Birmingham,B23 3EH
H0000054,5926.74,Hamish,Jenkins,SA940550A,1987-12-27,90 Eastgate,Cardiff,CF9 8PP
H0000055,1338.33,Niamh,Zielinski,BB902056B,1963-07-12,126 Fenwick Street,Norwich,NR8 7ZY
H0000056,789.49,Grace,Kaur,HE539360B,1950-12-21,84 Dovecote Lane,Norwich,NR15 8PX
H0000057,5204.85,Niamh,Bhatt,EL356441D,1980-09-06,183 Hollybank Avenue,Norwich,NR14 1JD
H0000059,2326.45,Priya,Hargreaves,OB073559C,1951-08-10,145 Alder Way,Cardiff,CF28 4GX
H0000060,2949.2,Eleanor,Whitfield,TC664415B,1946-12-06,104 Dovecote Lane,Bristol,BS8 5HZ
H0000061,1442.75,Lucy,Gill,GT060867A,1976-08-08,168 Fenwick Street,Newcastle upon Tyne,NE14 9ZE
H0000062,1728.47,Yusuf,Okonkwo,XE985956D,1979-05-30,93 Eastgate,Leeds,LS31 2PR
